Name,scenario-beta-same-Expected Spread,scenario-beta-same-Faster Spread,scenario-beta-same-Slower Spread,scenario-beta-lifted-Expected Spread,scenario-beta-lifted-Faster Spread,scenario-beta-lifted-Slower Spread,scenario-beta-tight-Expected Spread,scenario-beta-tight-Faster Spread,scenario-beta-tight-Slower Spread
Indonesia,0.5470807977,0.5774172686,0.5167443268,0.6470807977,0.6774172686,0.6167443268,0.7470807977,0.7774172686,0.7167443268
India,0.5976893021,0.5997768784,0.5956017258,0.6976893021,0.6997768784,0.6956017258,0.7976893021,0.7997768784,0.7956017258
Ireland,0.4008656962,0.5063477432,0.2953836492,0.5008656962,0.6063477432,0.3953836492,0.6008656962,0.7063477432,0.4953836492
"Iran, Islamic Republic of",0.5084627256,0.5301171946,0.4868082566,0.6084627256,0.6301171946,0.5868082566,0.7084627256,0.7301171946,0.6868082566
Iraq,0.5998377233,0.6403486324,0.5593268142,0.6998377233,0.7403486324,0.6593268142,0.7998377233,0.8403486324,0.7593268142
Iceland,0.7632279606,0.8968874934,0.6295684278,0.8632279606,0.9968874934,0.7295684278,0.9632279606,1.096887493,0.8295684278
Israel,0.7442466329,0.7991452579,0.689348008,0.8442466329,0.8991452579,0.789348008,0.9442466329,0.9991452579,0.889348008
Italy,0.4536914429,0.5141226954,0.3932601905,0.5536914429,0.6141226954,0.4932601905,0.6536914429,0.7141226954,0.5932601905
Jamaica,0.5521916546,0.670883992,0.4334993172,0.6521916546,0.770883992,0.5334993172,0.7521916546,0.870883992,0.6334993172
Jordan,0.4134762267,0.5181688652,0.3087835881,0.5134762267,0.6181688652,0.4087835881,0.6134762267,0.7181688652,0.5087835881
Japan,0.6922682323,0.7752522627,0.6092842018,0.7922682323,0.8752522627,0.7092842018,0.8922682323,0.9752522627,0.8092842018
Kazakhstan,0.9180847979,0.9356250237,0.900544572,1.018084798,1.035625024,1.000544572,1.118084798,1.135625024,1.100544572
Kenya,0.5969714335,0.6495351847,0.5444076822,0.6969714335,0.7495351847,0.6444076822,0.7969714335,0.8495351847,0.7444076822
Kyrgyzstan,0.7648164131,0.8598294111,0.6698034151,0.8648164131,0.9598294111,0.7698034151,0.9648164131,1.059829411,0.8698034151
"Korea, Republic of",0.5204699279,0.5903781602,0.4505616955,0.6204699279,0.6903781602,0.5505616955,0.7204699279,0.7903781602,0.6505616955
Kuwait,0.5368646307,0.5786954348,0.4950338265,0.6368646307,0.6786954348,0.5950338265,0.7368646307,0.7786954348,0.6950338265
Lebanon,0.5418547681,0.6251861816,0.4585233546,0.6418547681,0.7251861816,0.5585233546,0.7418547681,0.8251861816,0.6585233546
Liberia,0.5202901347,0.6222625611,0.4183177082,0.6202901347,0.7222625611,0.5183177082,0.7202901347,0.8222625611,0.6183177082
Libya,0.6095363229,0.7073574276,0.5117152181,0.7095363229,0.8073574276,0.6117152181,0.8095363229,0.9073574276,0.7117152181
Sri Lanka,0.4233323811,0.513064785,0.3335999773,0.5233323811,0.613064785,0.4335999773,0.6233323811,0.713064785,0.5335999773
Lithuania,0.3817502304,0.5260881045,0.2374123563,0.4817502304,0.6260881045,0.3374123563,0.5817502304,0.7260881045,0.4374123563
