Name,Country,Date Start,Date end intended,Implementing State/Province,Implementing City,Description of measure implemented,Keywords,Exceptions,Applies To,Target country,Target region,Tests per day,Tests conducted to date,Contacts traced to date,Column 1,Source,Target state,Target city
China,China,"Feb 02, 2020",,Hubei,Wuhan,"On the same day, the Prevention and Control HQ issued a set of traditional Chinese medicine (TCM) prescriptions ""to help treat the infection"".[508] This move follows the 22 January recommendation from the National Health Commission to use TCM to treat the disease.[509] The same official file that contains the prescription also demands that all patients in Wuhan be treated by TCM",questionable medical recommendation,,,,,,,,,https://www.epochtimes.com/gb/20/2/4/n11842894.htm,,
China,China,"Feb 02, 2020",,Zheijang,Wenzhou,"Wenzhou, Zhejiang announces implementing the same measure as Huanggang, where every household may send one person every two days outside for purchases, from 00:00 on 2 February to 24:00 on 8 February.","blanket house confinement, social isolation",,,,,,,,,https://web.archive.org/web/20200202142810/https://www.yicai.com/news/100485610.html,,
China,China,"Feb 02, 2020",,Hubei,,"Huoshenshan Hospital completed construction in the morning and was transferred to the military, half a day earlier than scheduled.",hospital construction,,,,,,,,,https://web.archive.org/web/20200202061233/https://www.jiemian.com/article/3934433.html,,
China,China,"Feb 02, 2020",,Hubei,,Hubei allows imported and re-imported masks that are unlisted in China to be sold in the provincial market,"deregulation, economic incentives",,,,,,,,,https://web.archive.org/web/20200202061226/https://www.jiemian.com/article/3934550.html,,
China,China,"Feb 02, 2020",,Meituan,,Meituan starts an initiative to disinfect all shared bikes in eight mainland cities regardless of the brand,public hygiene,,,,,,,,,https://web.archive.org/web/20200202061154/https://www.jiemian.com/article/3934577.html,,
China,China,"Feb 02, 2020",,Hubei,Wuhan,"With immediate effect, Wuhan's government announced the quarantining of ""all suspected patients and those known to have been in close contact with a confirmed case."" It stated ""Patients shall cooperate. Whoever refuses to cooperate will be subject to enforcement by the police.""","compulsory isolation, social isolation, targeted isolation",,,,,,,,,https://web.archive.org/web/20200206091439/https://www.scmp.com/news/china/society/article/3048575/coronavirus-45-more-deaths-1921-new-cases-reported-hubei,,
China,China,"Feb 02, 2020",,,,"Chinese Premier Li Keqiang has asked the European Union to facilitate the sale of medical supplies “through commercial channels”. According to a Chinese government statement, the President of the European Commission Ursula von der Leyen said the European Union will try its best and coordinate all necessary resources to provide assistance to China.",international aid,,,,,,,,,https://www.youtube.com/watch?v=GxKsWsWCJgA,,
China,China,"Feb 02, 2020",,,Beijing,"A new mask factory has started production in Beijing, after only seven days of being proposed and having all licenses on 31 January.",manufacturing capacity,,,,,,,,,https://web.archive.org/web/20200202202808/https://news.cgtn.com/news/2020-02-02/Beijing-builds-mask-factory-in-7-days-amid-widespread-shortage-NLkdpnbO12/index.html,,
China,China,"Feb 03, 2020",,,,The Chinese New Year holiday period ended after having been extended for a week.,business suspension,,,,,,,,,http://finance.chinanews.com/cj/2020/02-03/9077187.shtml,,
China,China,"Feb 03, 2020",,Hubei,Wuhan,"In Wuhan, the People's Liberation Army Ground Force takes over medical supplies delivery.[524] “The Beijing leadership realised that almost all the donation points in Hubei and Wuhan have had delivery problems, that there are some opportunists using this crisis to make money,” according to a military source",military takeover,,,,,,,,,https://web.archive.org/web/20200205125935/https://www.scmp.com/news/china/society/article/3048778/coronavirus-chinese-military-takes-control-medical-supplies,,
China,China,"Feb 03, 2020",,,,"4,000 passengers on the World Dream cruise ship were quarantined, after four among them positive to the coronavirus","cruise ship, quarantine",,,,,,,,,https://web.archive.org/web/20200205125903/https://www.scmp.com/economy/china-economy/article/3048784/coronavirus-least-three-cases-among-4000-passengers-china,,
China,China,"Feb 04, 2020",,,,"The People’s Bank of China provided an additional 500 billion yuan (roughly US$71 billion) of liquidity into the country’s financial system on Tuesday, following 1.2 trillion yuan (over US$170 billion) the previous day",economic stimulus,,,,,,,,,https://web.archive.org/web/20200206200112/https://www.nytimes.com/2020/02/04/world/asia/coronavirus-china.html,,
China,China,"Feb 05, 2020",,,,"The National Health Commission releases the fifth diagnostic criteria. For Hubei, CT scan results are no longer required for declaring suspected cases,[529] and ""clinical diagnoses"" may now be made using ""imaging features of the pneumonia"", without nucleic acid testing required.[530] For suspected cases, ""respiratory symptoms"" are now admitted as part of the criteria nationwide.",diagnostic guidance,,,,,,,,,https://web.archive.org/web/20200205133028/https://www.jiemian.com/article/3947696.html,,
China,China,"Feb 05, 2020",,Hubei,,Hubei released an additional ¥200 million (US$28.56 million) as special subsidies for the construction of treatment sites,"hospital construction, treatment capacity",,,,,,,,,https://web.archive.org/web/20200205135302/https://www.jiemian.com/article/3948681.html,,
China,China,"Feb 05, 2020",,Hubei,Wuhan,The first shelter hospital[534] is put into use,"hospital construction, treatment capacity",,,,,,,,,https://web.archive.org/web/20200205135301/https://www.jiemian.com/article/3948801.html,,
China,China,"Feb 05, 2020",,Hubei,Wuhan,"The Wuhan Institute of Virology applied for a patent of Gilead's antiviral drug, remdesivir, as applied toward 2019-nCoV, in China. The granting of a patent by Chinese authorities was not certain, but a patent would provide China with leverage in negotiating license fees with Gilead.","intellectual property, pharmaceutical treatment",,,,,,,,,https://web.archive.org/web/20200206064149/https://www.bloomberg.com/news/articles/2020-02-05/china-is-trying-to-patent-gilead-s-experimental-coronavirus-drug,,
China,China,"Feb 06, 2020",,Chongqing,,"The start of the new semester is postponed to at least the end of February in Zhejiang,[543] Jiangsu,[543] Chongqing,[544] and Shanghai.[",school closure,,,,,,,,,http://app.cctv.com/special/cportal/detail/arti/index.html?id=Arti0Rd54yRt0cEq03jI3VsT200206&fromapp=cctvnews&version=803&version=803&allow_comment=1,,
China,China,"Feb 06, 2020",,Zhejian,,"The start of the new semester is postponed to at least the end of February in Zhejiang,[543] Jiangsu,[543] Chongqing,[544] and Shanghai.[",school closure,,,,,,,,,http://app.cctv.com/special/cportal/detail/arti/index.html?id=Arti0Rd54yRt0cEq03jI3VsT200206&fromapp=cctvnews&version=803&version=803&allow_comment=1,,
China,China,"Feb 06, 2020",,Shanghai,,"The start of the new semester is postponed to at least the end of February in Zhejiang,[543] Jiangsu,[543] Chongqing,[544] and Shanghai.[",school closure,,,,,,,,,http://app.cctv.com/special/cportal/detail/arti/index.html?id=Arti0Rd54yRt0cEq03jI3VsT200206&fromapp=cctvnews&version=803&version=803&allow_comment=1,,
China,China,"Feb 06, 2020",,Jiangsu,,"The start of the new semester is postponed to at least the end of February in Zhejiang,[543] Jiangsu,[543] Chongqing,[544] and Shanghai.[",school closure,,,,,,,,,http://app.cctv.com/special/cportal/detail/arti/index.html?id=Arti0Rd54yRt0cEq03jI3VsT200206&fromapp=cctvnews&version=803&version=803&allow_comment=1,,
China,China,"Feb 06, 2020",,Sichuan,,Sichuan[546] and Guangdong[547] rolled out measures to help small and medium-sized enterprises in response to the epidemic.,economic stimulus,,,,,,,,,https://web.archive.org/web/20200206091807/https://www.jiemian.com/article/3949971.html,,
